cost,emission,discomfort,dummy,electrolyzer elecGrid,heatpump elecGrid,rooftop pv elecGrid,heatpump_ac elecGrid,heatpump_ac heatGrid,heatpump heatGrid,fuel cell heatGrid,fuel cell storageGrid,electrolyzer storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],elec import elecGrid,elec import fuelGrid,clo_lvl
0.01591,0.951602832,61840.0,0.0,,-15.2456455106701,21.9558260176606,-1.97908772966033,-3.95817545932067,16.6964013646571,,,,0.0211220333848603,0.1297455783466519,,,,0.0194132434178349,0.0085256848087246,0.0109345943337678,2.33235988124239,-2.33235988124239,light clothing
0.009819,1.788757042,69640.0,0.0,,-14.5834004650069,17.4736440453201,-1.14022397318287,-2.28044794636575,19.5436268981754,,,,0.0137507344481509,0.142225892902222,,,,0.010418995095642,0.0085254867782792,0.0059894971931958,4.38420843704911,-4.38420843704911,light clothing
0.005684,3.540445805,60280.0,0.0,,-14.3483300235511,11.9638584617027,-0.538864029805017,-1.07772805961003,20.6402743136764,,,,0.0095557913929128,0.0893777874296466,,,,0.0096567329878768,0.0045699781284079,0.0016716615882352,8.67756324771658,-8.67756324771658,light clothing
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.007699,2.373828915,54040.0,0.0,,-14.863935791465,16.3288909453346,-1.0236249313816,-2.0472498627632,19.1438853257313,,,,0.0140774403435549,0.14812261252261,,,,0.0124093379562964,0.0085263997989857,0.003740277087035,5.81820812419052,-5.81820812419052,light clothing
0.012396,1.287602832,86666.67,0.0,,-13.8662035396552,16.7484871280322,-0.0275539936331128,-0.0551079872662256,16.2418721111247,,,,0.0134061491853623,0.13723721422027,,,,0.0135316063743215,0.0001812131740573,0.0083618085357639,3.15588929304101,-3.15588929304101,light clothing
0.012425,1.287602832,79000.0,0.0,,-14.3037726696435,17.9930403691092,-0.804878524438625,-1.60975704887725,16.5426033087809,,,,0.0134032464305469,0.137228221697595,,,,0.0132711531047471,0.0039217847336839,0.0083817926700755,3.15588929301013,-3.15588929301013,light clothing
0.005012,3.246953604,133333.33,0.0,,-12.6404941239361,10.4252455242691,-0.0033122334623165,-0.0066244669246331,18.0051037814383,,,,0.008830488515693,0.0789241967384651,,,,0.0076682522556303,2.42151199042269e-05,0.0014422210528228,7.95821961852891,-7.95821961852891,light clothing
0.014569,1.007602832,74320.0,0.0,,-14.9174927769188,20.4977994391442,-1.69307575305638,-3.38615150611275,15.7527260086229,,,,0.0177920181909679,0.133545136141512,,,,0.0175142160722019,0.0085252806453526,0.0099784073682207,2.46961478320389,-2.46961478320389,light clothing
0.005691,4.119481868,44680.0,0.0,,-14.8154837953582,10.8575587301285,-0.407207499994972,-0.814414999989944,22.5749516846497,,,,0.0088479732664128,0.0729529793707339,,,,0.0079908211323231,0.0057682780266995,0.0014261386924143,10.0967692846653,-10.0967692846653,light clothing
0.009399,2.077077003,52480.0,0.0,,-15.0109175545123,17.0974142760555,-1.127592438637,-2.25518487727399,20.0329472620897,,,,0.0138317638873994,0.141653185690532,,,,0.0109274391140302,0.0085265724541592,0.0054316467028546,5.09087500804587,-5.09087500804587,light clothing
